,month,gender,years,edu_lvl,etnicity,main_source,total
24891,JAN,f,45.0,secundaria,mestizo,1212.0,1212.0
24892,JAN,m,40.0,secundaria,mestizo,1200.0,1200.0
24893,JAN,f,63.0,secundaria,mestizo,498.0,498.0
24894,JAN,f,29.0,uni_completa,mestizo,2000.0,2000.0
24895,JAN,f,68.0,secundaria,mestizo,1464.0,1464.0
24896,JAN,m,33.0,tecnica,mestizo,850.0,850.0
24897,JAN,f,66.0,tecnica,mestizo,2457.0,2457.0
24898,JAN,f,67.0,otro,blanco,462.0,462.0
24899,JAN,m,35.0,otro,mestizo,1025.0,1025.0
24900,JAN,m,29.0,secundaria,afroperuano,1702.0,1702.0
24901,JAN,f,64.0,secundaria,otro,1074.0,1074.0
24902,JAN,m,60.0,otro,otro,606.0,606.0
24903,JAN,f,53.0,otro,mestizo,303.0,303.0
24904,JAN,f,29.0,secundaria,afroperuano,996.0,996.0
24905,JAN,f,32.0,secundaria,otro,130.0,130.0
24906,JAN,f,63.0,secundaria,mestizo,2054.0,2054.0
24907,JAN,m,37.0,uni_completa,mestizo,3400.0,3400.0
24908,JAN,m,35.0,uni_completa,mestizo,2000.0,2000.0
24909,JAN,f,34.0,secundaria,quechua,779.0,779.0
24910,JAN,m,31.0,tecnica,aymara,700.0,700.0
24911,JAN,m,33.0,tecnica_trunca,mestizo,1025.0,1025.0
24912,JAN,m,29.0,otro,mestizo,1143.0,1143.0
24913,JAN,f,64.0,secundaria,mestizo,2168.0,2168.0
24914,JAN,m,47.0,secundaria,mestizo,1025.0,1025.0
24915,JAN,f,27.0,tecnica,quechua,1025.0,1025.0
24916,JAN,f,42.0,secundaria,quechua,1025.0,1325.0
24917,JAN,m,56.0,otro,otro,558.0,558.0
24918,JAN,m,31.0,tecnica_trunca,mestizo,1025.0,1025.0
24919,JAN,m,26.0,secundaria,mestizo,1862.0,1862.0
24920,JAN,m,69.0,otro,quechua,1710.0,1710.0
24921,JAN,m,27.0,tecnica_trunca,mestizo,909.0,909.0
24922,JAN,m,35.0,secundaria,mestizo,1816.0,1816.0
24923,JAN,f,20.0,uni_trunca,mestizo,1426.0,1426.0
24924,JAN,f,61.0,otro,mestizo,1317.0,1317.0
24925,JAN,f,43.0,tecnica_trunca,quechua,1460.0,1460.0
24926,JAN,f,42.0,uni_completa,mestizo,2744.0,2744.0
24927,JAN,f,42.0,uni_completa,mestizo,2000.0,2000.0
24928,JAN,m,40.0,secundaria,mestizo,1500.0,1500.0
24929,JAN,m,33.0,uni_trunca,mestizo,2000.0,2000.0
24930,JAN,m,56.0,uni_trunca,mestizo,1200.0,1200.0
24931,JAN,f,68.0,secundaria,mestizo,1200.0,1200.0
24932,JAN,f,46.0,maestria,mestizo,2000.0,2000.0
24933,JAN,f,53.0,secundaria,mestizo,2500.0,2500.0
24934,JAN,f,53.0,tecnica_trunca,mestizo,1083.0,1083.0
24935,JAN,f,26.0,tecnica,mestizo,1350.0,1350.0
24936,JAN,m,57.0,secundaria,afroperuano,1400.0,1400.0
24937,JAN,f,55.0,secundaria,mestizo,313.0,583.0
24938,JAN,m,67.0,otro,otro,856.0,856.0
24939,JAN,m,51.0,otro,otro,600.0,630.0
24940,JAN,m,29.0,uni_trunca,mestizo,600.0,600.0
24941,JAN,m,57.0,tecnica_trunca,mestizo,1500.0,1500.0
24942,JAN,m,30.0,tecnica_trunca,mestizo,8000.0,8000.0
24943,JAN,f,69.0,secundaria,mestizo,1550.0,1550.0
24944,JAN,f,59.0,secundaria,mestizo,1500.0,1500.0
24945,JAN,f,28.0,uni_completa,mestizo,1000.0,2500.0
24946,JAN,f,25.0,secundaria,mestizo,866.0,866.0
24947,JAN,m,37.0,secundaria,blanco,2260.0,2260.0
