month,gender,years,rol,sector,n_employees,lf_job,employment_source,n_weeks_lf_job,edu_lvl,etnicity,1st_source,total
FEB,f,54,,,,,, ,,,650,650
FEB,f,63,,,,,, ,,,650,650
FEB,m,62,,,,,, ,,,649,649
FEB,f,30,,,,,, ,,,649,649
FEB,f,57,,,,,, ,,,947,947
FEB,f,56,,,,,, ,,,857,857
FEB,f,71,,,,,, ,,,700,700
FEB,f,44,,,,,, ,,,634,634
FEB,f,56,,,,,, ,,,630,630
FEB,f,59,,,,,, ,,,890,890
FEB,f,48,,,,,, ,,,629,629
FEB,f,28,,,,,, ,,,640,640
FEB,m,53,,,,,, ,,,620,620
FEB,m,54,,,,,, ,,,620,620
FEB,f,35,,,,,, ,,,609,609
FEB,f,43,,,,,, ,,,600,900
FEB,m,60,,,,,, ,,,600,600
FEB,m,39,,,,,, ,,,600,600
FEB,f,47,,,,,, ,,,600,600
FEB,f,75,,,,,, ,,,600,600
FEB,f,54,,,,,, ,,,600,600
FEB,f,76,,,,,, ,,,600,600
FEB,m,54,,,,,, ,,,600,600
FEB,m,87,,,,,, ,,,600,600
FEB,f,59,,,,,, ,,,600,600
FEB,m,59,,,,,, ,,,600,600
FEB,m,34,,,,,, ,,,600,600
FEB,m,72,,,,,, ,,,600,600
FEB,f,55,,,,,, ,,,600,600
FEB,f,57,,,,,, ,,,594,594
FEB,f,49,,,,,, ,,,589,589
FEB,f,30,,,,,, ,,,563,563
FEB,f,35,,,,,, ,,,861,861
FEB,f,53,,,,,, ,,,560,560
FEB,f,68,,,,,, ,,,554,854
FEB,m,74,,,,,, ,,,560,560
FEB,f,57,,,,,, ,,,551,551
FEB,f,69,,,,,, ,,,537,537
FEB,m,65,,,,,, ,,,530,530
FEB,f,46,,,,,, ,,,580,580
FEB,f,59,,,,,, ,,,585,585
FEB,f,48,,,,,, ,,,670,670
FEB,f,46,,,,,, ,,,520,520
FEB,f,33,,,,,, ,,,519,519
FEB,f,72,,,,,, ,,,613,713
FEB,f,48,,,,,, ,,,556,756
FEB,f,30,,,,,, ,,,1372,1372
FEB,f,21,,,,,, ,,,500,900
FEB,f,45,,,,,, ,,,500,750
FEB,f,44,,,,,, ,,,500,500
FEB,f,38,,,,,, ,,,500,500
FEB,f,35,,,,,, ,,,620,620
FEB,f,32,,,,,, ,,,500,500
FEB,f,70,,,,,, ,,,610,610
FEB,f,60,,,,,, ,,,955,955
FEB,m,56,,,,,, ,,,500,500
FEB,f,48,,,,,, ,,,510,510
FEB,m,75,,,,,, ,,,500,500
FEB,f,44,,,,,, ,,,586,586
FEB,f,42,,,,,, ,,,499,499
FEB,f,35,,,,,, ,,,585,585
FEB,f,26,,,,,, ,,,495,495
